alpha,beta,gamma,delta,fitness
0.2975575145652636,0.03966284538593207,0.5056641076867656,0.15711553236203876,0.7544109901104589
0.4106870560003962,0.23276834827054835,0.18154968780697417,0.1749949079220814,0.6909539684627684
0.026572916368998816,0.5549704761424648,0.05976253613795057,0.35869407135058573,0.32321627393850516
0.09331084290737637,0.33029650209202854,0.25368518534010664,0.32270746966048847,0.4498794950908616
0.36729765627794664,0.3139246144473808,0.14776760055949062,0.17101012871518192,0.680699884037751
0.36512895096260395,0.23233737256471876,0.3805083432063633,0.02202533326631402,0.9321113942158211
0.03460651814361934,0.11408777449482564,0.6714835694713003,0.17982213789025472,0.7074492382656528
0.1260111651498527,0.33616775473262533,0.3367833136142919,0.20103776650322994,0.63120979929863
0.33243280767337363,0.24808171415139388,0.27546230001939354,0.1440231781558389,0.7467529756435325
0.006988195923006536,0.21883774777476905,0.4048862104090087,0.3692878458932157,0.3913587942164842
0.4452978631095132,0.4349344068450279,0.02332598748838687,0.09644174255707212,0.7900972251376378
0.16967110166008958,0.5198064439961538,0.16718702844908892,0.14333542589466783,0.6810355723587678
0.06872864758472609,0.30454220391456593,0.4486817364304125,0.17804741207029542,0.6720204411116435
0.44244508299143437,0.2856244002978353,0.004126954891005251,0.2678035618197252,0.5411697772108452
0.3389034477525353,0.231703124817671,0.15064216711125475,0.2787512603185389,0.547117640799541
0.17417427411164216,0.1641068789938299,0.48592117194632495,0.175797674948203,0.7034821117789295
0.23988689544290437,0.5640685258117486,0.0385558982040423,0.15748868054130466,0.6791567003162806
0.08971058936669796,0.41080521733709996,0.3609411409523239,0.13854305234387818,0.7305646388836177
0.2601376600812116,0.3123546041612622,0.09360645270390017,0.33390128305362593,0.4210594243792455
0.3731645342473721,0.04073707872289589,0.43358559868008,0.15251278834965193,0.7651202556670876
0.1210163667731593,0.26190800098364114,0.4761512639552494,0.14092436828795019,0.7362318473713466
0.35129938245170245,0.18052930756022476,0.10897842988499407,0.35919288010307876,0.4160783529553257
0.5001758756756751,0.05310142580434796,0.26310096077723605,0.18362173774274093,0.7166021795152365
0.07969465012860018,0.5104808280387522,0.06132620458726274,0.34849831724538494,0.37515635852417223
0.15354373327454343,0.3069001726392827,0.18503094820685229,0.35452514587932155,0.4068322466531612
0.14402121310288668,0.3158683714421981,0.005415622556403023,0.5346947928985122,0.1347841363637921
0.22623199779340433,0.33936139487074823,0.11667971749520005,0.31772688984064734,0.47250545600841665
0.13541740903241736,0.2387333527487077,0.2752485470684478,0.35060069115042725,0.42635229272461767
0.5510155454062142,0.2879075546192789,0.14633888281765356,0.014738017156853191,0.9203114633408642
0.4633917570347335,0.39762925248265846,0.04982394090995319,0.08915504957265484,0.7867415751444862
0.299773844217137,0.09193143229689833,0.32547548407683163,0.2828192394091331,0.5619814260417656
0.07452744382475734,0.4090270631288326,0.501677511222787,0.01476798182362314,0.8960426146387989
0.5389757927396032,0.08768701994240224,0.1694023193436241,0.20393486797437066,0.6809446450470839
0.44054763497021177,0.004570350220567716,0.401770605359276,0.15311140944994456,0.7694188157809696
0.10544626294865442,0.4014856581633877,0.284676107998315,0.20839197088964279,0.5870406291246888
0.03295488434739087,0.35479907838099056,0.22307415470530007,0.3891718825663185,0.3630223143933737
0.17391668253306505,0.0537126378030107,0.5723836454092881,0.1999870342546361,0.6865912891672932
0.2903533411013504,0.34311549080859693,0.20675539608921367,0.1597757720008389,0.6917132438370223
0.06899445851340426,0.09630149037546337,0.49992397186227067,0.3347800792488618,0.4737545085328415
0.3596822372659552,0.29739830085230307,0.0817415884457679,0.26117787343597393,0.5338836146329634
0.44303142312956373,0.2452374284614164,0.1460935304859158,0.16563761792310394,0.7147579588461315
0.47508376365922683,0.04424700751490376,0.39051497411737346,0.09015425470849606,0.8581315668100205
0.3867183166184508,0.5079637170443788,0.0702957026581897,0.03502226367898058,0.8712720469248723
0.3630301224078363,0.394595438540826,0.2316644847669121,0.010709954284425473,0.9247457527922376
0.062329586313610026,0.38236533933092953,0.22797251590894124,0.32733255844651926,0.4325280944640353
0.08100957796384103,0.3877693625512591,0.08242315249938835,0.4487979069855116,0.24924926701148092
0.11201133661521258,0.3734495361911729,0.13765331842184556,0.376885808771769,0.3599813796041119
0.10207091500663945,0.3894860303620219,0.32049538044194864,0.1879476741893899,0.6401812826435107
0.4212710466168758,0.3562249015844035,0.017080869599966114,0.20542318219875458,0.6206202463849875
0.1425912316987906,0.2790288218217854,0.49736603730235757,0.0810139091770663,0.808721930778954
0.12538024438228543,0.11114699456907252,0.3903615723183675,0.37311118873027455,0.42366116771922735
0.014553155654267196,0.3977111292052312,0.5805187477028378,0.007216967437663864,0.8897467665421965
